number,title,verdict,evidence
7035,"feat(providers): add Agnes AI native provider support",SKIP,SKIP:not-selected|files:4
7032,"fix(auggie): update model registry to match v0.32.0 CLI model IDs",SKIP,SKIP:not-selected|files:3
7029,"Fix hook model mutation in chat handler",SKIP,SKIP:not-selected|files:1
7028,"fix: infer bare models from active synced catalogs",SKIP,SKIP:not-selected|files:7
7027,"fix(dashboard): make quota cards container responsive",SKIP,SKIP:not-selected|files:2
7018,"Release v3.8.48",SKIP,SKIP:not-selected|files:100
7014,"docs: add realistic provider guide with honest status for each category",SKIP,SKIP:infra-only|files:1
7012,"fix(codex): preserve GPT-5.6 reasoning contract",SKIP,SKIP:not-selected|files:14
7011,"fix(ci): collect Gemini translator tests",SKIP,SKIP:not-selected|files:2
7008,"[codex] Keep mode-pack weights consistent in auto fallback ranking",SKIP,SKIP:not-selected|files:2
7007,"[codex] Keep mode-pack weights consistent in auto fallback ranking",SKIP,SKIP:not-selected|files:2
7006,"feat(sidecar): add provider manifest client",SKIP,SKIP:not-selected|files:5
7004,"fix(models): preserve chat-capable image model rows",SKIP,SKIP:not-selected|files:2
7002,"feat: implement executable issue-agent triage runs",SKIP,SKIP:not-selected|files:25
7001,"fix: DDG circuit breaker (#6999) + null content validation (#7000)",SKIP,SKIP:not-selected|files:5
6995,"feat(quota): opt-in auto-ping to keep Codex quota windows warm (#6977)",DUPLICATE,exclude-or-dup-list
6994,"feat(providers): curated OpenRouter embeddings catalog + specialty merge in live discovery (#6976)",PORT,named-map-id
6993,"Preserve direct-model combo metadata",SKIP,SKIP:not-selected|files:29
6992,"fix(sse): schema-aware optional tool-arg normalization for Codex routes (#6951)",SKIP,SKIP:not-selected|files:6
6991,"fix(combos): show embedding/rerank models and disambiguate duplicate names in builder options (#6975; #6957)",SKIP,SKIP:not-selected|files:5
6990,"fix(sse): apply commentary-phase drop filter in TRANSLATE mode (#6952)",SKIP,SKIP:not-selected|files:4
6988,"fix(6848): auto-cleanup for telemetry tables causing OOM",SKIP,SKIP:not-selected|files:4
6987,"feat(6922): effort-tier aliases for glm-5.2 & mimo-v2.5 on opencode-go",SKIP,SKIP:not-selected|files:3
6986,"fix(providers): cap grok-cli tools at 200 for cli-chat-proxy",DUPLICATE,exclude-or-dup-list
6985,"fix(6975): show embedding models in combo builder picker",SKIP,SKIP:not-selected|files:2
6984,"fix(dashboard): hide disabled provider connections from combo builder",SKIP,SKIP:not-selected|files:4
6983,"fix(6980): classify Cloudflare AI neuron exhaustion as quota_exhausted",SKIP,SKIP:not-selected|files:3
6982,"fix(6954;6953): preserve system role + strip empty-signature thinking blocks",SKIP,SKIP:not-selected|files:4
6981,"fix(providers): classify cloudflare-ai daily neuron exhaustion as quota_exhausted",SKIP,SKIP:not-selected|files:3
6979,"fix(6914;6912): antigravity server-side tool invocations + remove clinepass gate from ensureThinkingBudget",SKIP,SKIP:not-selected|files:5
6974,"Feat/chaos mode",SKIP,SKIP:not-selected|files:100
6973,"feat(auth): OIDC as optional dashboard admin login gate (password fallback preserved)",SKIP,SKIP:not-selected|files:12
6966,"fix(api): LAN model-list discovery uses local-first SSRF guard (#6939)",PORT,named-map-id
6965,"fix: defer response.completed until trailing usage-only chunk on /v1/responses streams (#6906)",PORT,named-map-id
6964,"fix: rename max_completion_tokens to max_tokens for volcengine/DeepSeek (#6912)",PORT,named-map-id
6963,"fix: wire shared quota-fetch throttle into all provider fetchers (#6911)",PORT,named-map-id
6962,"fix: classify LAN embeddings providers as no-auth (#6925)",SKIP,SKIP:not-selected|files:3
6961,"fix: label audio/embeddings/image compatible providers by kind on ProviderCard (#6936)",PORT,named-map-id
6960,"fix: omit removed attachments field from Muse Spark Web request (#6935)",SKIP,SKIP:not-selected|files:3
6959,"fix(sse): set includeServerSideToolInvocations on Antigravity tool cloak decoys (#6914)",SKIP,SKIP:not-selected|files:3
6958,"feat(providers): refresh Antigravity; GitHub; Devin Desktop; and Grok catalogs",SKIP,SKIP:not-selected|files:100
6955,"fix(perplexity-web): stop empty-content responses from live schematized SSE",SKIP,SKIP:not-selected|files:3
6947,"fix(tokenHealthCheck): normalize provider case in rotating/copilot checks",SKIP,SKIP:not-selected|files:3
6946,"fix(db): add authType filter support to getProviderConnections",SKIP,SKIP:not-selected|files:2
6945,"chore(release): reconcile 81 changelog.d fragments into CHANGELOG [3.8.47]",SKIP,SKIP:infra-only|files:82
6944,"fix(sse): escape backslash in ChatGPT-web citation link text (#6569)",SKIP,SKIP:not-selected|files:3
6943,"fix(6813): fix thinking budget zero drop and default thinkingConfig injection",SKIP,SKIP:not-selected|files:3
6942,"fix(6803): move timing-sensitive tests to serial and increase audit shutdown timeout",SKIP,SKIP:not-selected|files:10
6938,"fix(grok): strip reasoningEffort for grok cli models",PORT,named-map-id
6937,"fix(grok): align responses tool-call shape for grok models",PORT,named-map-id
6932,"fix(codex): correct GPT-5.6 Responses input normalization (input_text -> output_text)",PORT,named-map-id
6931,"docs: slim CLAUDE.md by extracting playbooks and deep-dive detail",SKIP,SKIP:infra-only|files:3
6930,"perf: thread pre-fetched token to checkRateLimit avoiding re-query",PORT,named-map-id
6929,"fix: eliminate redundant getApiKeyMetadata DB read in embeddings route",SKIP,SKIP:not-selected|files:2
6927,"fix(sse): flatten structured (array) content in Qwen Web executor",PORT,named-map-id
6926,"feat: add icons for 46 missing provider images",PORT,named-map-id
6923,"perf(db): cap modelLockouts eviction at 1000 entries",SKIP,SKIP:not-selected|files:2
6921,"perf(db): add temp_store=MEMORY pragma to SQLite init",SKIP,SKIP:not-selected|files:2
6920,"perf(startup): warm model catalog cache at module init",SKIP,SKIP:not-selected|files:2
6919,"perf(db): add jitter to stagger due-on-restart connections",SKIP,SKIP:not-selected|files:2
6918,"perf(db): project columns + composite index in getProviderConnections",SKIP,SKIP:not-selected|files:3
6917,"fix: add re-entrancy guard to token health check sweep",SKIP,SKIP:not-selected|files:3
6909,"fix(proxy): relay repair + free-pool UX + relay awareness",SKIP,SKIP:not-selected|files:32
6908,"fix(cli): ship head-response-guard.cjs in the standalone bundle",PORT,named-map-id
6907,"[trim] feat(combo): add context requirements config for target filtering",PORT,named-map-id
6905,"fix(api): merge id-only tool_call continuation deltas in stream summary (#6276)",PORT,named-map-id
6904,"fix(providers): honor max_token capability override in reasoning buffer clamp (#6524)",PORT,named-map-id
6903,"fix(sse): apply cliproxyapiModelMapping at CLIProxyAPI dispatch time (#6876)",PORT,named-map-id
6902,"fix(mcp): de-duplicate TOTAL_MCP_TOOL_COUNT by tool name (#6854)",SKIP,SKIP:not-selected|files:4
6901,"fix(compression): surface silently-dropped stacked-pipeline steps and fix inflation-guard misfire (#6479)",SKIP,SKIP:not-selected|files:7
6900,"fix(plugin): split OC-gate provider id from OmniRoute-facing routing id (#6859)",SKIP,SKIP:not-selected|files:7
6899,"fix(db): share sql.js preinit across callers; fix named-param bind (#6628; #6802)",SKIP,SKIP:not-selected|files:6
6898,"fix(db): stop legacy log-archive migration from deleting the live app-logger directory and crashing startup (#6401)",PORT,named-map-id
6897,"fix(sse): de-flake timing-sensitive combo cooldown/breaker tests (#6803)",SKIP,SKIP:not-selected|files:8
6896,"fix(dashboard): surface Claude extraUsage credits in quota card (#6806)",PORT,named-map-id
6895,"fix(providers): honor a provider-level proxy assigned to no-auth providers (#6272)",PORT,named-map-id
6894,"fix(providers): wire devin cloud-agent into provider validation and static models (#6142)",PORT,named-map-id
6893,"fix(routing): recognize Kimi token-limit 400 as context overflow for combo fallback (#6637)",PORT,named-map-id
6892,"fix(cli): waitForServer must not report ready on bare TCP accept (#6800)",PORT,named-map-id
6891,"fix(providers): give v0-vercel-web its own alias so credentials are detected (#6343)",PORT,named-map-id
6890,"fix(providers): strip redundant node prefix on connId-addressed custom models (#6772)",PORT,named-map-id
6889,"fix(routing): honor no-auth provider connection isActive in auto-combo pool (#6557)",PORT,named-map-id
6888,"fix(providers): scope nvidia NIM 404s to the single failing model (#6773)",PORT,named-map-id
6887,"fix(api): recognize OpenRouter reasoning/reasoning_details in non-streaming OpenAI-to-Claude conversion (#6623)",PORT,named-map-id
6886,"fix(api): route error responses through sanitizeErrorMessage (Hard Rule #12)",PORT,named-map-id
6885,"fix(docs): document Turbopack build memory tradeoff for RAM-constrained machines (#6409)",SKIP,SKIP:not-selected|files:4
6884,"fix(ci): exclude check-test-masking.test.ts fixtures from self-referential tautology gate (#6634)",SKIP,SKIP:not-selected|files:5
6883,"fix(sse): treat compression no-op as zero-savings; not inflation/silent-drop",SKIP,SKIP:not-selected|files:5
6882,"fix(providers): route AgentRouter key validation through CC wire image (#6377)",SKIP,SKIP:not-selected|files:3
6881,"fix(ci): publish electron-updater latest.yml manifests in release assets (#6766)",SKIP,SKIP:not-selected|files:5
6878,"fix(release): read changelog.d fragments in list-uncovered-commits (#6857)",SKIP,SKIP:not-selected|files:3
6877,"[defer] fix embedded CLIProxyAPI config handling",SKIP,SKIP:not-selected|files:1
6871,"fix(api): return 400 (not 500) on malformed JSON body",PORT,named-map-id
6870,"fix(oauth): embed Trae OAuth client_id via resolvePublicCred (Hard Rule #11)",SKIP,SKIP:not-selected|files:4
6869,"fix(fusion): select judge from a surviving panel member when no explicit judge",SKIP,SKIP:not-selected|files:2
6868,"fix(sse): stop combo path tripping whole-provider breaker on plain 429",SKIP,SKIP:not-selected|files:3
6867,"feat(proxy): shorthand proxy formats + protocol header mode for bulk import",SKIP,SKIP:not-selected|files:11
6866,"fix(sse): combo model lockout honors parsed upstream quota reset (#6863)",SKIP,SKIP:not-selected|files:3
6862,"feat(providers): add GPT-5.6 model family",SKIP,SKIP:not-selected|files:100
6860,"feat(proxy): relay repair + free-pool UX + relay awareness",SKIP,SKIP:not-selected|files:100
6856,"fix(usage): validate exact xAI cost values for #6711",SKIP,SKIP:not-selected|files:4
6855,"[defer] feat(omnicontext): Continuity Plane Phase 0–4 + coverage; CI eval; Memory embed; docs",SKIP,SKIP:not-selected|files:97
6853,"docs(readme): fix stale strategy/tool/scoring counts (18 strategies; 94 tools; 12-factor)",SKIP,SKIP:infra-only|files:2
6852,"Feat/omnicontext phase 0",SKIP,SKIP:not-selected|files:100
6851,"feat(omnicontext): Continuity Plane Phase 0–4 + coverage; CI eval; Memory embed; docs",SKIP,SKIP:not-selected|files:97
6849,"docs: refresh stale llm.txt facts + relocate design.md to docs/architecture/DESIGN_SYSTEM.md",SKIP,SKIP:not-selected|files:45
6847,"docs: rename /implement-prs → /merge-prs in CLAUDE.md (Rule #21)",SKIP,SKIP:infra-only|files:1
6841,"fix(docker): copy head-response-guard.cjs into the standalone bundle (boot crash)",SKIP,SKIP:not-selected|files:2
6840,"fix(kiro): probe IdC region during profileArn discovery; cross-region (recovers #6099)",SKIP,SKIP:not-selected|files:6
6839,"fix(antigravity): sanitize Cloud Code safety settings (recovers #6581)",SKIP,SKIP:not-selected|files:3
6838,"feat(compression): update vendored GCF (Headroom) codec to spec v3.2 — nested flattening",SKIP,SKIP:not-selected|files:11
6833,"feat(provider): add OpenVecta AI inference gateway",SKIP,SKIP:not-selected|files:11
6832,"chore(deps): bump github/codeql-action/init from 4.36.3 to 4.37.0",SKIP,SKIP:not-selected|files:8
6831,"chore(deps): bump github/codeql-action/analyze from 4.36.3 to 4.37.0",SKIP,SKIP:not-selected|files:8
6830,"fix(dashboard): logs detail modal no longer reopens on first close",SKIP,SKIP:not-selected|files:2
6829,"fix(providers): classify 404 as MODEL_NOT_FOUND to stop retry storm (#6827)",PORT,named-map-id
6828,"fix(bootstrap): filter empty process.env values to prevent Docker env crash loop",PORT,named-map-id
6823,"feat: add Z.ai Web free web-cookie provider (#4056)",PORT,named-map-id
6822,"feat(providers): manual context-window override for custom models (#4125)",SKIP,SKIP:not-selected|files:48
6821,"fix(providers): honor explicit thinking.budget_tokens 0 in openai->gemini transform (#6813)",PORT,named-map-id
6820,"feat(codex): echo requested effort-suffixed model id in Responses payloads (#3697)",PORT,named-map-id
6819,"[dup] fix(providers): drop image_generation for gpt-5.3-codex-spark (#6651)",SKIP,SKIP:not-selected|files:2
6818,"feat(usage): surface Antigravity weekly quota alongside the 5-hour window (#4017)",PORT,named-map-id
6817,"feat(resilience): weekly-429 cooldown for fetcher-less providers (#3709)",SKIP,SKIP:not-selected|files:4
6816,"feat(combo): strict budget-cap fallback policy for auto/* combos (#3470)",PORT,named-map-id
6815,"feat: improve Provider Quota page horizontal density (#3520)",SKIP,SKIP:not-selected|files:3
6814,"feat: per-model web-search interception rule (#3384)",SKIP,SKIP:not-selected|files:7
6812,"feat: request count log per provider; per date (#4009)",SKIP,SKIP:not-selected|files:53
6811,"feat(dashboard): add search to Playground model picker dropdown (#4086)",SKIP,SKIP:not-selected|files:5
6810,"feat: sidebar search/filter input (#4013)",SKIP,SKIP:not-selected|files:5
6809,"refactor(usage): type saveRequestUsage with UsageEntry interface + any-budget ratchet (#3512)",SKIP,SKIP:not-selected|files:4
6808,"[trim] feat(combo): add context requirements config for target filtering",SKIP,SKIP:not-selected|files:55
6807,"fix(sse): default reasoning summary for effort-only Responses requests",SKIP,SKIP:not-selected|files:3
6805,"fix(codex): strip include from compact responses requests",SKIP,SKIP:not-selected|files:3
6804,"feat(fusion): let judge use its own knowledge and override the panel",SKIP,SKIP:not-selected|files:2
6798,"feat(proxy): implement latency-optimized proxy rotation strategy",SKIP,SKIP:not-selected|files:13
6797,"Release/v3.8.45",SKIP,SKIP:not-selected|files:100
6795,"fix(cursor): use Agent CLI build id for x-cursor-client-version",SKIP,SKIP:not-selected|files:8
6794,"[needs-vps] fix(electron): materialize Turbopack hashed-module symlinks during packaging (#6724; #6594)",SKIP,SKIP:not-selected|files:3
6792,"fix(api): accept all catalog engines on compression PUT schema (#6747)",SKIP,SKIP:not-selected|files:6
6791,"fix(providers): ensure DeepSeek Web SSE emits [DONE] after FINISHED",SKIP,SKIP:not-selected|files:3
6790,"fix(translator): read PDF/video file attachments for Gemini/Antigravity and Claude",DUPLICATE,exclude-or-dup-list
6788,"ci(quality): TIA impacted-run loader parity for dashboard tests (closes #6787)",SKIP,SKIP:infra-only|files:2
6786,"fix(responses): escape literal control chars in tool call JSON; emit …",SKIP,SKIP:not-selected|files:18
6784,"chore(release): merge-train — batch-validate queued PRs once (kills O(N²) CI waits)",SKIP,SKIP:not-selected|files:3
6783,"feat(release): changelog.d/ fragments — eliminate the CHANGELOG merge-storm cascade",SKIP,SKIP:not-selected|files:10
6781,"ci(quality): shard unit fast-path 2→4 (halves the heaviest job)",SKIP,SKIP:infra-only|files:1
6780,"fix(codex): bump default client version to 0.144.0",SKIP,SKIP:not-selected|files:7
6779,"feat(cursor): add Opus 4.8; Fable 5; and Sonnet 5 model families",SKIP,SKIP:not-selected|files:4
6776,"Discover live Codex models",SKIP,SKIP:not-selected|files:10
6774,"chore(cursor): add Grok 4.5 effort/fast model IDs",SKIP,SKIP:not-selected|files:3
6769,"fix(i18n): translate hardcoded Portuguese dashboard strings to English (#6761; #6768)",SKIP,SKIP:not-selected|files:6
6763,"\ feat: operator-configurable account rotation\",SKIP,SKIP:not-selected|files:8
6762,"[subsumed] fix(gemini): preserve chat file_data PDFs",SKIP,SKIP:not-selected|files:2
6759,"fix(api): raise provider apiKey cap for cookie-based web providers (#6715)",SKIP,SKIP:not-selected|files:2
6757,"fix(api): accept enableRenderers in RTK compression config schema (#6703)",SKIP,SKIP:not-selected|files:2
